Date,Category,Product ID,Brand Name,Opening Balance,Quantity Added,Closing Balance,Price,Quantity Sold,Total Amount,Total,Sale
2025-02-22,Snacks,ch,chips,50.0,160.0,83.0,20.0,25.0,500.0,,
2025-02-26,Liquor,rs,Royal Stag,100.0,315.0,165.0,250.0,,40000.0,415.0,160.0
2025-02-26,ColdDrinks,fr,frooty,100.0,50.0,135.0,25.0,,15625.0,150.0,625.0
2025-02-26,Snacks,ch,chips,100.0,0.0,85.0,10.0,,50.0,100.0,5.0
2025-02-26,Liquor,BD,Budwiser,100.0,0.0,15.0,300.0,,18000.0,100.0,60.0
2025-02-26,ColdDrinks,Th,Thumsup,100.0,0.0,86.0,20.0,,100.0,100.0,5.0
2025-02-26,ColdDrinks,pep,Pepsi,100.0,0.0,70.0,20.0,,300.0,100.0,15.0
2025-02-27,Liquor,RS180,R.Stag (180ml),0.0,100.0,92.0,240.0,,960.0,100.0,4.0
2025-02-27,ColdDrinks,R125,Red Bull (250ml),0.0,45.0,42.0,125.0,,375.0,45.0,3.0
2025-02-27,Snacks,S25,Snacks,0.0,50.0,15.0,25.0,,2125.0,50.0,85.0
2025-02-27,Liquor,NO180,No.1 (180ml),0.0,50.0,95.0,210.0,,1050.0,50.0,5.0
2025-02-27,Snacks,S10,Snacks,0.0,50.0,10.0,10.0,,400.0,50.0,40.0
2025-02-27,Liquor,TB330,Tuborg (330ml),0.0,5.0,-45.0,150.0,,7500.0,5.0,50.0
2025-02-28,Liquor,RS180,R.Stag (180ml),0.0,100.0,84.0,240.0,,1440.0,100.0,6.0
2025-03-01,ColdDrinks,R125,Red Bull (250ml),0.0,15.0,2.0,125.0,,625.0,15.0,5.0
2025-03-01,Liquor,RS180,R.Stag (180ml),0.0,100.0,70.0,240.0,,2400.0,100.0,10.0
2025-03-01,Liquor,NO180,No.1 (180ml),0.0,50.0,25.0,210.0,,2100.0,50.0,10.0
2025-03-01,Liquor,TB330,Tuborg (330ml),0.0,55.0,-5.0,150.0,,750.0,55.0,5.0
2025-03-03,Liquor,RS180,R.Stag (180ml),0.0,150.0,95.0,240.0,,7200.0,150.0,30.0
2025-03-04,Snacks,S20,Snacks,0.0,60.0,50.0,20.0,,200.0,60.0,10.0
2025-03-04,Snacks,S5,Snacks,0.0,180.0,65.0,5.0,,575.0,180.0,115.0
2025-03-04,Snacks,S10,Snacks,50.0,60.0,85.0,10.0,,250.0,110.0,25.0
2025-03-04,Snacks,S25,Snacks,0.0,61.0,29.0,25.0,,800.0,61.0,32.0
2025-03-04,ColdDrinks,T20,Thums up (200ml),100.0,100.0,200.0,20.0,,0.0,200.0,0.0
2025-03-04,Liquor,RS180,R.Stag (180ml),10.0,30.0,15.0,240.0,,6000.0,40.0,25.0
